Indicator,Country,Date,value
Cumulative number of suspected Ebola deaths,United States of America,2/2/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2/2/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,1/30/2015,1
Cumulative number of probable Ebola cases,United Kingdom,1/30/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/30/2015,2920
Cumulative number of confirmed Ebola cases,Guinea,1/30/2015,2575
Cumulative number of probable Ebola cases,Guinea,1/30/2015,332
Cumulative number of suspected Ebola cases,Guinea,1/30/2015,13
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/30/2015,1913
Cumulative number of confirmed Ebola deaths,Guinea,1/30/2015,1581
Cumulative number of probable Ebola deaths,Guinea,1/30/2015,332
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/30/2015,8643
Cumulative number of confirmed Ebola cases,Liberia,1/30/2015,3138
Cumulative number of probable Ebola cases,Liberia,1/30/2015,1864
Cumulative number of suspected Ebola cases,Liberia,1/30/2015,3641
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/30/2015,3700
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/30/2015,10561
Cumulative number of confirmed Ebola cases,Sierra Leone,1/30/2015,7989
Cumulative number of probable Ebola cases,Sierra Leone,1/30/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,1/30/2015,2285
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/30/2015,3216
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/30/2015,2850
Cumulative number of probable Ebola deaths,Sierra Leone,1/30/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,1/30/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/30/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/30/2015,7
Cumulative number of probable Ebola cases,Mali,1/30/2015,1
Cumulative number of suspected Ebola cases,Mali,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/30/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/30/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/30/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/30/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/30/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/30/2015,1
Cumulative number of probable Ebola cases,Senegal,1/30/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/30/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/30/2015,1
Cumulative number of probable Ebola cases,Spain,1/30/2015,0
Cumulative number of suspected Ebola cases,Spain,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/30/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/30/2015,4
Cumulative number of probable Ebola cases,United States of America,1/30/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/30/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/30/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/30/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/30/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/30/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/30/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/30/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/30/2015,0
Cumulative number of probable Ebola deaths,Spain,1/30/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/30/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/30/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/30/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/30/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/30/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,1/29/2015,1
Cumulative number of probable Ebola cases,United Kingdom,1/29/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/29/2015,2921
Cumulative number of confirmed Ebola cases,Guinea,1/29/2015,2571
Cumulative number of probable Ebola cases,Guinea,1/29/2015,332
Cumulative number of suspected Ebola cases,Guinea,1/29/2015,18
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/29/2015,1911
Cumulative number of confirmed Ebola deaths,Guinea,1/29/2015,1579
Cumulative number of probable Ebola deaths,Guinea,1/29/2015,332
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/29/2015,8643
Cumulative number of confirmed Ebola cases,Liberia,1/29/2015,3138
Cumulative number of probable Ebola cases,Liberia,1/29/2015,1864
Cumulative number of suspected Ebola cases,Liberia,1/29/2015,3641
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/29/2015,3700
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/29/2015,10537
Cumulative number of confirmed Ebola cases,Sierra Leone,1/29/2015,7977
Cumulative number of probable Ebola cases,Sierra Leone,1/29/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,1/29/2015,2273
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/29/2015,3207
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/29/2015,2841
Cumulative number of probable Ebola deaths,Sierra Leone,1/29/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,1/29/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/29/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/29/2015,7
Cumulative number of probable Ebola cases,Mali,1/29/2015,1
Cumulative number of suspected Ebola cases,Mali,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/29/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/29/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/29/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/29/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/29/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/29/2015,1
Cumulative number of probable Ebola cases,Senegal,1/29/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/29/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/29/2015,1
Cumulative number of probable Ebola cases,Spain,1/29/2015,0
Cumulative number of suspected Ebola cases,Spain,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/29/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/29/2015,4
Cumulative number of probable Ebola cases,United States of America,1/29/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/29/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/29/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/29/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/29/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/29/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/29/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/29/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/29/2015,0
Cumulative number of probable Ebola deaths,Spain,1/29/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/29/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/29/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/29/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/29/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/29/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/28/2015,0
Cumulative number of suspected Ebola cases,Sierra Leone,1/28/2015,2263
Cumulative number of probable Ebola cases,United Kingdom,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/28/2015,8622
Cumulative number of confirmed Ebola cases,Sierra Leone,1/28/2015,7968
Cumulative number of probable Ebola cases,Guinea,1/28/2015,332
Cumulative number of probable Ebola deaths,Sierra Leone,1/28/2015,208
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,1/28/2015,366
Cumulative number of confirmed Ebola deaths,Guinea,1/28/2015,1578
Cumulative number of suspected Ebola cases,Liberia,1/28/2015,3620
Cumulative number of suspected Ebola deaths,Sierra Leone,1/28/2015,158
Cumulative number of confirmed Ebola cases,Guinea,1/28/2015,2569
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/28/2015,3686
Cumulative number of probable Ebola deaths,Guinea,1/28/2015,332
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/28/2015,2833
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,1/28/2015,92
Cumulative number of suspected Ebola cases,United Kingdom,1/28/2015,0
Number of confirmed Ebola cases in the last 21 days,Liberia,1/28/2015,20
Cumulative number of probable Ebola cases,Sierra Leone,1/28/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/28/2015,1910
Cumulative number of confirmed Ebola cases,Liberia,1/28/2015,3138
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/28/2015,10518
Cumulative number of probable Ebola cases,Liberia,1/28/2015,1864
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,1/28/2015,366
Cumulative number of confirmed Ebola cases,United Kingdom,1/28/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/28/2015,2917
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/28/2015,3199
Number of confirmed Ebola cases in the last 21 days,Guinea,1/28/2015,92
Cumulative number of suspected Ebola cases,Guinea,1/28/2015,16
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,1/28/2015,20
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/28/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/28/2015,7
Cumulative number of probable Ebola cases,Mali,1/28/2015,1
Cumulative number of suspected Ebola cases,Mali,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/28/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/28/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/28/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/28/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/28/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/28/2015,1
Cumulative number of probable Ebola cases,Senegal,1/28/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/28/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/28/2015,1
Cumulative number of probable Ebola cases,Spain,1/28/2015,0
Cumulative number of suspected Ebola cases,Spain,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/28/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/28/2015,4
Cumulative number of probable Ebola cases,United States of America,1/28/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/28/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/28/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/28/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/28/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/28/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/28/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/28/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/28/2015,0
Cumulative number of probable Ebola deaths,Spain,1/28/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/28/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/28/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/28/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/28/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/28/2015,1
Cumulative number of probable Ebola cases,Guinea,1/27/2015,332
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/27/2015,1910
Cumulative number of probable Ebola deaths,Guinea,1/27/2015,332
Cumulative number of suspected Ebola cases,Liberia,1/27/2015,3620
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/27/2015,3199
Cumulative number of probable Ebola deaths,Sierra Leone,1/27/2015,208
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/27/2015,2917
Cumulative number of confirmed Ebola cases,Guinea,1/27/2015,2569
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/27/2015,10518
Cumulative number of confirmed Ebola cases,Sierra Leone,1/27/2015,7968
Cumulative number of probable Ebola cases,Sierra Leone,1/27/2015,287
Cumulative number of confirmed Ebola cases,United Kingdom,1/27/2015,1
Cumulative number of probable Ebola cases,United Kingdom,1/27/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/27/2015,8622
Cumulative number of confirmed Ebola cases,Liberia,1/27/2015,3138
Cumulative number of probable Ebola cases,Liberia,1/27/2015,1864
Cumulative number of suspected Ebola deaths,Sierra Leone,1/27/2015,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/27/2015,0
Cumulative number of suspected Ebola cases,Guinea,1/27/2015,16
Cumulative number of confirmed Ebola deaths,Guinea,1/27/2015,1578
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/27/2015,3686
Cumulative number of suspected Ebola cases,Sierra Leone,1/27/2015,2263
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/27/2015,2833
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/27/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/27/2015,7
Cumulative number of probable Ebola cases,Mali,1/27/2015,1
Cumulative number of suspected Ebola cases,Mali,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/27/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/27/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/27/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/27/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/27/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/27/2015,1
Cumulative number of probable Ebola cases,Senegal,1/27/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/27/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/27/2015,1
Cumulative number of probable Ebola cases,Spain,1/27/2015,0
Cumulative number of suspected Ebola cases,Spain,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/27/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/27/2015,4
Cumulative number of probable Ebola cases,United States of America,1/27/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/27/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/27/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/27/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/27/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/27/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/27/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/27/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/27/2015,0
Cumulative number of probable Ebola deaths,Spain,1/27/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/27/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/27/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/27/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/27/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/27/2015,1
Cumulative number of probable Ebola deaths,Guinea,1/26/2015,332
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/26/2015,8524
Cumulative number of probable Ebola deaths,Sierra Leone,1/26/2015,208
Cumulative number of confirmed Ebola deaths,Guinea,1/26/2015,1574
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/26/2015,10491
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/26/2015,2829
Cumulative number of suspected Ebola deaths,Sierra Leone,1/26/2015,158
Cumulative number of confirmed Ebola cases,Liberia,1/26/2015,3136
Cumulative number of probable Ebola cases,Liberia,1/26/2015,1854
Cumulative number of suspected Ebola cases,Liberia,1/26/2015,3534
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/26/2015,3636
Cumulative number of confirmed Ebola cases,United Kingdom,1/26/2015,1
Cumulative number of probable Ebola cases,United Kingdom,1/26/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/26/2015,2909
Cumulative number of confirmed Ebola cases,Guinea,1/26/2015,2559
Cumulative number of probable Ebola cases,Guinea,1/26/2015,332
Cumulative number of suspected Ebola cases,Guinea,1/26/2015,18
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/26/2015,1906
Cumulative number of confirmed Ebola cases,Sierra Leone,1/26/2015,7963
Cumulative number of probable Ebola cases,Sierra Leone,1/26/2015,287
Cumulative number of suspected Ebola cases,Sierra Leone,1/26/2015,2241
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/26/2015,3195
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/26/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/26/2015,7
Cumulative number of probable Ebola cases,Mali,1/26/2015,1
Cumulative number of suspected Ebola cases,Mali,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/26/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/26/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/26/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/26/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/26/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/26/2015,1
Cumulative number of probable Ebola cases,Senegal,1/26/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/26/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/26/2015,1
Cumulative number of probable Ebola cases,Spain,1/26/2015,0
Cumulative number of suspected Ebola cases,Spain,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/26/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/26/2015,4
Cumulative number of probable Ebola cases,United States of America,1/26/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/26/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/26/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/26/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/26/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/26/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/26/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/26/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/26/2015,0
Cumulative number of probable Ebola deaths,Spain,1/26/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/26/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/26/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/26/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/26/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/26/2015,1
Cumulative number of probable Ebola cases,Guinea,1/23/2015,319
Cumulative number of confirmed Ebola cases,Liberia,1/23/2015,3136
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/23/2015,8524
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/23/2015,3636
Cumulative number of confirmed Ebola cases,United Kingdom,1/23/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/23/2015,2873
Cumulative number of probable Ebola deaths,Guinea,1/23/2015,319
Cumulative number of probable Ebola cases,Sierra Leone,1/23/2015,287
Cumulative number of probable Ebola cases,United Kingdom,1/23/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/23/2015,1880
Cumulative number of suspected Ebola cases,Sierra Leone,1/23/2015,2192
Cumulative number of suspected Ebola cases,Guinea,1/23/2015,9
Cumulative number of confirmed Ebola deaths,Guinea,1/23/2015,1561
Cumulative number of confirmed Ebola cases,Sierra Leone,1/23/2015,7921
Cumulative number of suspected Ebola deaths,Sierra Leone,1/23/2015,158
Cumulative number of confirmed Ebola cases,Guinea,1/23/2015,2545
Cumulative number of suspected Ebola cases,Liberia,1/23/2015,3534
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,1/23/2015,3159
Cumulative number of probable Ebola deaths,Sierra Leone,1/23/2015,208
Cumulative number of probable Ebola cases,Liberia,1/23/2015,1854
Cumulative number of confirmed Ebola deaths,Sierra Leone,1/23/2015,2793
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/23/2015,10400
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,1/23/2015,1
Cumulative number of confirmed Ebola cases,Mali,1/23/2015,7
Cumulative number of probable Ebola cases,Mali,1/23/2015,1
Cumulative number of suspected Ebola cases,Mali,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,1/23/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,1/23/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,1/23/2015,19
Cumulative number of probable Ebola cases,Nigeria,1/23/2015,1
Cumulative number of suspected Ebola cases,Nigeria,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,1/23/2015,20
Cumulative number of confirmed Ebola cases,Senegal,1/23/2015,1
Cumulative number of probable Ebola cases,Senegal,1/23/2015,0
Cumulative number of suspected Ebola cases,Senegal,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,1/23/2015,1
Cumulative number of confirmed Ebola cases,Spain,1/23/2015,1
Cumulative number of probable Ebola cases,Spain,1/23/2015,0
Cumulative number of suspected Ebola cases,Spain,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,1/23/2015,1
Cumulative number of confirmed Ebola cases,United States of America,1/23/2015,4
Cumulative number of probable Ebola cases,United States of America,1/23/2015,0
Cumulative number of suspected Ebola cases,United States of America,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,1/23/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,1/23/2015,7
Cumulative number of probable Ebola deaths,Nigeria,1/23/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,1/23/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,1/23/2015,0
Cumulative number of probable Ebola deaths,Senegal,1/23/2015,0
Cumulative number of suspected Ebola deaths,Senegal,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,1/23/2015,0
Cumulative number of confirmed Ebola deaths,Spain,1/23/2015,0
Cumulative number of probable Ebola deaths,Spain,1/23/2015,0
Cumulative number of suspected Ebola deaths,Spain,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,1/23/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,1/23/2015,1
Cumulative number of probable Ebola deaths,United States of America,1/23/2015,0
Cumulative number of suspected Ebola deaths,United States of America,1/23/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,1/23/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,1/22/2015,2873
Cumulative number of confirmed Ebola cases,Liberia,1/22/2015,3136
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,1/22/2015,10362
Cumulative number of probable Ebola cases,Sierra Leone,1/22/2015,287
Cumulative number of suspected Ebola deaths,Sierra Leone,1/22/2015,158
Cumulative number of confirmed Ebola cases,Guinea,1/22/2015,2542
Cumulative number of probable Ebola deaths,Guinea,1/22/2015,319
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,1/22/2015,8524
Cumulative number of confirmed Ebola cases,Sierra Leone,1/22/2015,7909
Cumulative number of confirmed Ebola cases,United Kingdom,1/22/2015,1
Cumulative number of probable Ebola cases,Liberia,1/22/2015,1854
Cumulative number of suspected Ebola cases,Liberia,1/22/2015,3534
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,1/22/2015,3636
Cumulative number of probable Ebola cases,United Kingdom,1/22/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,1/22/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,1/22/2015,0
Cumulative number of probable Ebola cases,Guinea,1/22/2015,319
Cumulative number of suspected Ebola cases,Guinea,1/22/2015,12
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,1/22/2015,1879
Cumulative number of confirmed Ebola deaths,Guinea,1/22/2015,1560
Cumulative number of suspected Ebola cases,Sierra Leone,1/22/2015,2166
